# CSV-File created with merge-csv.com,,,,,,
title, link ,,lat,lon,,
Whiting Public Library,http://www.whiting.lib.in.us/,IN,39.849426,-86.258278,,
Willard Library - Indiana,http://www.willard.lib.in.us/,IN,39.849426,-86.258278,,
Wolcott Community Library,http://www.mywcpl.com/,INLake City Public Library,39.849426,-86.258278,,
Solon Public Library,http://www.solon.lib.ia.us/,Iowa,42.011539,-93.210526,,
Waterloo Public Library,http://www.wpl.ca,Iowa,42.011539,-93.210526,,
Algona Public Library,http://www.algona.lib.ia.us/,Iowa,42.011539,-93.210526,,
Ames Public Library,http://www.amespubliclibrary.org/,Iowa,42.011539,-93.210526,,
Bettendorf Public Library,http://www.bettendorflibrary.com,Iowa,42.011539,-93.210526,,
Burlington Public Library - Iowa,http://www.burlington.lib.ia.us/,Iowa,42.011539,-93.210526,,
Carnegie-Stout Public Library,http://www.dubuque.lib.ia.us/,Iowa,42.011539,-93.210526,,
Cedar Falls Public Library,http://www.cedar-falls.lib.ia.us/,Iowa,42.011539,-93.210526,,
Council Bluffs Public Library,http://www.cbpl.lib.ia.us/,Iowa,42.011539,-93.210526,,
Davenport Public Library,http://www.davenportlibrary.com/,Iowa,42.011539,-93.210526,,
Decorah Public Library,http://www.decorah.lib.ia.us,Iowa,42.011539,-93.210526,,
Des Moines Public Library,http://www.pldminfo.org/,Iowa,42.011539,-93.210526,,
Eldora Public Library,http://www.eldora.lib.ia.us/,Iowa,42.011539,-93.210526,,
Emmetsburg Public Library,http://www.emmetsburg.lib.ia.us/,Iowa,42.011539,-93.210526,,
Evansdale Public Library,http://www.evansdale.lib.ia.us/,Iowa,42.011539,-93.210526,,
Exira Public Library,http://www.exira.lib.ia.us/,Iowa,42.011539,-93.210526,,
Fayette Community Library,http://www.fayettelibrary.lib.ia.us/,Iowa,42.011539,-93.210526,,
Fort Dodge Public Library,http://www1.youseemore.com/nilc/FortDodgePL/,Iowa,42.011539,-93.210526,,
Gibson Memorial Library,http://www.creston.lib.ia.us/,Iowa,42.011539,-93.210526,,
Grimes Public Library,http://www.grimes.lib.ia.us/,Iowa,42.011539,-93.210526,,
Independence Public Library,http://www.independence.lib.ia.us/,Iowa,42.011539,-93.210526,,
Iowa City Public Library.,http://www.icpl.org/,Iowa,42.011539,-93.210526,,
James Kennedy Public Library,http://www.dyersville.lib.ia.us/,Iowa,42.011539,-93.210526,,
Johnston Public Library,http://www.johnstonlibrary.com/,Iowa,42.011539,-93.210526,,
Kalona Public Library,http://www.kalona.lib.ia.us/,Iowa,42.011539,-93.210526,,
Kirkendall Public Library,http://www.ankenyiowa.gov/index.aspx?page=75,Iowa,42.011539,-93.210526,,
Marshalltown Public Library,http://www.marshalltownlibrary.org/,Iowa,42.011539,-93.210526,,
Mellinger Memorial Library,http://www.morningsun.lib.ia.us/,Iowa,42.011539,-93.210526,,
Metro Library Network,http://catalog.crlibrary.org/uhtbin/cgisirsi/x/x/0/49/,Iowa,42.011539,-93.210526,,
Musser Public Library,http://musserpubliclibrary.org/,Iowa,42.011539,-93.210526,,
Newton Public Library,http://www.newton.lib.ia.us/,Iowa,42.011539,-93.210526,,
Norelius Community Library,http://www.denison.lib.ia.us/,Iowa,42.011539,-93.210526,,
North Liberty Community Library,http://www.northlibertylibrary.org/,Iowa,42.011539,-93.210526,,
Oskaloosa Public Library,http://www.oskaloosalibrary.org,Iowa,42.011539,-93.210526,,
Pleasant Hill Public Library,http://ccclib.org/locations/pleasanthill.html,Iowa,42.011539,-93.210526,,
Scott County Library System,http://www.scottcountylibrary.org/,Iowa,42.011539,-93.210526,,
Shenandoah Public Library,http://www.shenandoah.lib.ia.us/,Iowa,42.011539,-93.210526,,
Sioux Center Public LIbrary,http://www.siouxcenter.lib.ia.us/,Iowa,42.011539,-93.210526,,
Sioux City Public Library,http://www.siouxcitylibrary.org/,Iowa,42.011539,-93.210526,,
Spencer Public Library,http://spencerlibrary.com/,Iowa,42.011539,-93.210526,,
Urbandale Public Library,http://www.urbandalelibrary.org/,Iowa,42.011539,-93.210526,,
West Branch Public Library,http://www.wbpl.org/,Iowa,42.011539,-93.210526,,
West Des Moines Public Library,http://www.wdmlibrary.org/,Iowa,42.011539,-93.210526,,
Wregie Memorial Library,http://showcase.netins.net/web/wregiememlib/,IowaLawrence Public Library,42.011539,-93.210526,,
Emporia Public Library,http://skyways.lib.ks.us/library/emporia/,KS,38.5266,-96.726486,,
Johnson County Library,http://www.jocolibrary.org/,KS,38.5266,-96.726486,,
Richmond Public Library,http://richmond.mykansaslibrary.org/,KS,38.5266,-96.726486,,
Basehor Community Library,http://www.basehorlibrary.org/,KS,38.5266,-96.726486,,
Belleville Public Library,http://bellevillepl.blogspot.com/,KS,38.5266,-96.726486,,
Central Kansas Library System,http://www.ckls.org/,KS,38.5266,-96.726486,,
Cimarron City Library,http://www.cimarroncitylibrary.org/,KS,38.5266,-96.726486,,
Coffeyville Public Library,http://www.cvillepublib.org,KS,38.5266,-96.726486,,
Derby Public Library,http://www.derbylibrary.com,KS,38.5266,-96.726486,,
Doniphan County Library District #1,http://skyways.lib.ks.us/library/doniphan/,KS,38.5266,-96.726486,,
Graham County Public Library,http://www.ghcopublib.org,KS,38.5266,-96.726486,,
Great Bend Public Library,http://www.greatbendpl.info/,KS,38.5266,-96.726486,,
Haysville Community Library,http://www.haysvillecommunitylibrary.org/,KS,38.5266,-96.726486,,
Hutchinson Public Library,http://www.hutchpl.org/,KS,38.5266,-96.726486,,
Kansas City Public Library,http://www.kckpl.lib.ks.us/,KS,38.5266,-96.726486,,
Linwood Community Library,http://www.linwoodcommunitylibrary.org/,KS,38.5266,-96.726486,,
Manhattan Public Library,http://www.manhattan.lib.ks.us/,KS,38.5266,-96.726486,,
McPherson Public Library,http://www.macpl.org/,KS,38.5266,-96.726486,,
Morton County Library,http://mclib.elkhart.com/,KS,38.5266,-96.726486,,
Newton Public Library - Kansas,http://www.newtonplks.org/,KS,38.5266,-96.726486,,
Olathe Public Library,http://olathe.lib.ks.us/,KS,38.5266,-96.726486,,
Ottawa Library,http://www.ottawalibrary.org/,KS,38.5266,-96.726486,,
Paola Free Library,http://www.paolalibrary.org/,KS,38.5266,-96.726486,,
Park City Public Library,http://www.parkcitypubliclibrary.com/Pages/default.aspx,KS,38.5266,-96.726486,,
Pittsburg Public Library,http://www.pplonline.org/,KS,38.5266,-96.726486,,
Russell Public Library,http://www.russellpl.blogspot.com/,KS,38.5266,-96.726486,,
Salina Public Library,http://www.salinapubliclibrary.org/,KS,38.5266,-96.726486,,
Silver Lake Library,http://skyways.lib.ks.us/library/silverlake/,KS,38.5266,-96.726486,,
Smith Center Public Library,http://smithcenterpl.blogspot.com/,KS,38.5266,-96.726486,,
